number,DG_num,DG,lumo,EA,bv-3.5,f+2,f+3,f+4,f+5,f+6,f-2,f-3,f-4,f-5,f-6,f0-2,f0-3,f0-4,f0-5,f0-6,Q2,Q3,Q4,Q5,Q6
133,43,C/C(C1=CC=C(F)C=C1)=N\C2=CC=C(OC)C=C2,-0.03501,0.05696776,0.619502423,0.03673,0.02791,0.10564,0.01279,0.06924,0.00024,0.00969,0.0351,0.02562,0.01686,0.018485,0.0188,0.07037,0.019205,0.04305,-0.15533,-0.26917,0.38788,-0.27351,-0.17322
134,43,C/C(C1=CC=C(F)C=C1)=N\C2=CC=C(OC)C=C2,-0.03501,0.05696776,0.619502423,0.03673,0.02791,0.10564,0.01279,0.06924,0.00024,0.00969,0.0351,0.02562,0.01686,0.018485,0.0188,0.07037,0.019205,0.04305,-0.15533,-0.26917,0.38788,-0.27351,-0.17322
135,43,C/C(C1=CC=C(F)C=C1)=N\C2=CC=C(OC)C=C2,-0.03501,0.05696776,0.619502423,0.03673,0.02791,0.10564,0.01279,0.06924,0.00024,0.00969,0.0351,0.02562,0.01686,0.018485,0.0188,0.07037,0.019205,0.04305,-0.15533,-0.26917,0.38788,-0.27351,-0.17322
136,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
137,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
138,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
139,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
140,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
141,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
142,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
143,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
144,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
145,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
146,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
147,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
148,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
149,17,CC(C=C1)=CC=C1C2=NC=CC=C2,-0.03588,-0.001354628,0.621395127,0.0495,0.02242,0.12611,0.00973,0.0641,0.03922,0.02142,0.16021,0.02634,0.04046,0.04436,0.02192,0.14316,0.018035,0.05228,-0.16233,-0.20336,-0.01208,-0.2072,-0.17603
150,14,COC(C=C1)=CC=C1C2=NC=CC=C2,-0.03379,-0.01888404,0.621331066,0.03847,0.02444,0.11417,0.00279,0.08489,0.00871,0.06584,0.08287,0.04794,0.03579,0.02359,0.04514,0.09852,0.025365,0.06034,-0.16387,-0.24646,0.29283,-0.29732,-0.14625
151,13,CC1=CC=CN=C1C2=CC=CC=C2,-0.02944,-0.013662654,0.668613725,0.04988,0.02064,0.12617,0.02537,0.04566,0.03047,0.03474,0.14619,0.00914,0.05756,0.040175,0.02769,0.13618,0.017255,0.05161,-0.19271,-0.20878,-0.20318,-0.2067,-0.16972
152,44,C1(C=CC=C2)=C2C(C3=CC=CC=C3)=NC=C1,-0.03598,0.070235399,0.669097093,0.02054,0.01857,0.07751,0.01635,0.03566,0.02596,0.01705,0.09856,0.01581,0.03324,0.02325,0.01781,0.088035,0.01608,0.03445,-0.19671,-0.20821,-0.20178,-0.20542,-0.16792
153,45,CC(C=C1)=CC=C1C2=NC=CC3=C2C=CC=C3,-0.03423,0.063731752,0.66863702,0.02393,0.01225,0.07543,0.01579,0.03039,0.02699,0.01783,0.1106,0.01801,0.02688,0.02546,0.01504,0.093015,0.0169,0.028635,-0.18796,-0.20872,-0.01323,-0.20425,-0.1588
154,35,C1(C2=CC=CC=C2)=NCCO1,-0.02246,-0.009713873,0.582644195,0.07019,0.02297,0.1608,0.02912,0.0627,0.04946,0.0238,0.1477,0.01284,0.05812,0.059825,0.023385,0.15425,0.02098,0.06041,-0.17864,-0.20513,-0.19817,-0.20459,-0.16614
155,35,C1(C2=CC=CC=C2)=NCCO1,-0.02246,-0.009713873,0.582644195,0.07019,0.02297,0.1608,0.02912,0.0627,0.04946,0.0238,0.1477,0.01284,0.05812,0.059825,0.023385,0.15425,0.02098,0.06041,-0.17864,-0.20513,-0.19817,-0.20459,-0.16614
156,35,C1(C2=CC=CC=C2)=NCCO1,-0.02246,-0.009713873,0.582644195,0.07019,0.02297,0.1608,0.02912,0.0627,0.04946,0.0238,0.1477,0.01284,0.05812,0.059825,0.023385,0.15425,0.02098,0.06041,-0.17864,-0.20513,-0.19817,-0.20459,-0.16614
157,35,C1(C2=CC=CC=C2)=NCCO1,-0.02246,-0.009713873,0.582644195,0.07019,0.02297,0.1608,0.02912,0.0627,0.04946,0.0238,0.1477,0.01284,0.05812,0.059825,0.023385,0.15425,0.02098,0.06041,-0.17864,-0.20513,-0.19817,-0.20459,-0.16614
158,46,CC(C=C1)=CC=C1C2=NCCO2,-0.02074,-0.019121067,0.582248183,0.08441,0.00813,0.15138,0.03709,0.04539,0.04588,0.02412,0.14996,0.01762,0.04278,0.065145,0.016125,0.15067,0.027355,0.044085,-0.16966,-0.20601,-0.00873,-0.20361,-0.15722
159,47,FC(C(C=C1)=CC=C1C2=NCCO2)(F)F,-0.03877,0.091962996,0.582859672,0.05901,0.03418,0.14565,0.04035,0.05258,0.05485,0.01337,0.14566,0.00562,0.06078,0.05693,0.023775,0.145655,0.022985,0.05668,-0.17578,-0.1753,-0.13977,-0.17495,-0.16311
160,48,COC(C=C1)=CC=C1C2=NCCO2,-0.02177,-0.037181487,0.582230712,0.10324,0.00035,0.14087,0.03539,0.04201,0.03681,0.05233,0.08119,0.05021,0.01838,0.070025,0.02634,0.11103,0.0428,0.030195,-0.15395,-0.29904,0.29563,-0.24342,-0.14684
161,49,FC(C=C1)=CC=C1C2=NCCO2,-0.03397,-0.003196624,0.582551016,0.07616,0.02004,0.13932,0.02867,0.06287,0.04261,0.03859,0.10901,0.02951,0.04648,0.059385,0.029315,0.124165,0.02909,0.054675,-0.16012,-0.27155,0.38909,-0.27025,-0.14768
162,50,ClC(C=C1)=CC=C1C2=NCCO2,-0.03467,0.031071751,0.582492779,0.06661,0.02458,0.13159,0.03077,0.0596,0.03977,0.0284,0.08893,0.02032,0.04329,0.05319,0.02649,0.11026,0.025545,0.051445,-0.16526,-0.22247,-0.03376,-0.22181,-0.15275
163,36,BrC(C=C1)=CC=C1C2=NCCO2,-0.03542,0.04099769,0.58251025,0.05719,0.03308,0.12117,0.02692,0.06475,0.0406,0.01911,0.072,0.02689,0.03636,0.048895,0.026095,0.096585,0.026905,0.050555,-0.1527,-0.22735,-0.07976,-0.22811,-0.16416
164,51,FC(C=CC=C1)=C1C2=NCCO2,-0.02316,0.011227342,0.599230106,0.09288,0.0107,0.16402,0.05304,0.03144,0.02836,0.03771,0.1319,0.00772,0.0596,0.06062,0.024205,0.14796,0.03038,0.04552,-0.14959,-0.22207,-0.18147,-0.27223,0.40987
165,52,CCOC(C=CC=C1)=C1C2=NCCO2,-0.00651,-0.026296271,0.603126165,0.09782,0.00277,0.16505,0.04791,0.03737,-0.00179,0.08497,0.09339,0.00989,0.06299,0.048015,0.04387,0.12922,0.0289,0.05018,-0.14487,-0.23952,-0.17524,-0.2994,0.32422
166,53,C1(C2=CC=CC=C2)=NCCO1,-0.02246,-0.009713873,0.582644195,0.07019,0.02297,0.1608,0.02912,0.0627,0.04946,0.0238,0.1477,0.01284,0.05812,0.059825,0.023385,0.15425,0.02098,0.06041,-0.17864,-0.20513,-0.19817,-0.20459,-0.16614
167,53,CC1OC(C2=CC=CC=C2)=NC1,-0.01953,-0.019973519,0.586190831,0.0682,0.02269,0.15786,0.02873,0.06108,0.05036,0.01968,0.13348,0.01071,0.05723,0.05928,0.021185,0.14567,0.01972,0.059155,-0.18144,-0.20544,-0.20121,-0.20475,-0.1679
168,54,C1(C2=CC=CC=C2)=NCC(C3=CC=CC=C3)O1,-0.03321,0.074842344,0.591082743,0.05473,0.01032,0.10711,0.02142,0.04264,0.04101,0.01254,0.09549,0.00815,0.04635,0.04787,0.01143,0.1013,0.014785,0.044495,-0.1789,-0.20487,-0.19845,-0.20447,-0.16553
