number,DG_num,DG,lumo,EA,bv-3.5,f+2,f+3,f+4,f+5,f+6,f-2,f-3,f-4,f-5,f-6,f0-2,f0-3,f0-4,f0-5,f0-6,Q2,Q3,Q4,Q5,Q6
0,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
1,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
2,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
3,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
4,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
5,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
6,2,COC1=CC(C2=CC=CC=C2)=NC=C1,-0.02805,-0.00573308,0.622734579,0.06936,0.01285,0.13392,0.0295,0.04906,0.04293,0.02469,0.15747,0.01382,0.05704,0.056145,0.01877,0.145695,0.02166,0.05305,-0.18389,-0.20722,-0.20177,-0.20552,-0.17171
7,3,CC1=CC(C2=CC=CC=C2)=NC=C1,-0.03231,0.00557562,0.623328597,0.05394,0.01963,0.12827,0.01949,0.05955,0.04296,0.02551,0.15484,0.01272,0.05785,0.04845,0.02257,0.141555,0.016105,0.0587,-0.18583,-0.20722,-0.20178,-0.20485,-0.17135
8,4,FC1=CC(C2=CC=CC=C2)=NC=C1,-0.03968,0.036435573,0.622064853,0.06649,0.01462,0.13293,0.02517,0.05501,0.03967,0.0293,0.1638,0.01438,0.05675,0.05308,0.02196,0.148365,0.019775,0.05588,-0.18216,-0.20592,-0.19712,-0.20415,-0.16847
9,5,ClC1=CC(C2=CC=CC=C2)=NC=C1,-0.04732,0.050454423,0.623305302,0.05538,0.01879,0.12625,0.0177,0.0619,0.03962,0.028,0.16044,0.01372,0.05622,0.0475,0.023395,0.143345,0.01571,0.05906,-0.18209,-0.20548,-0.19678,-0.2038,-0.16867
10,6,O=C(C1=CC(C2=CC=CC=C2)=NC=C1)OC,-0.05508,0.114448073,0.624935939,0.05356,0.00937,0.07809,0.02544,0.01987,0.05558,0.01438,0.15759,0.02496,0.04263,0.05457,0.011875,0.11784,0.0252,0.03125,-0.17055,-0.20358,-0.19852,-0.20601,-0.18356
11,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
12,8,CC1=CN=C(C2=CC=CC=C2)C=C1,-0.03539,-0.000266219,0.621395127,0.04716,0.0233,0.1267,0.01604,0.06325,0.04449,0.02272,0.14716,0.01228,0.05667,0.045825,0.02301,0.13693,0.01416,0.05996,-0.18705,-0.20691,-0.20326,-0.20446,-0.17335
13,9,FC1=CN=C(C2=CC=CC=C2)C=C1,-0.04779,0.017196989,0.622082324,0.04458,0.02727,0.12996,0.01498,0.06781,0.04346,0.02577,0.15525,0.01339,0.05736,0.04402,0.02652,0.142605,0.014185,0.062585,-0.18745,-0.20542,-0.20132,-0.20296,-0.17304
14,10,C1(C2=CC=CC=C2)=NC=CC=N1,-0.05362,0.035847956,0.608879985,0.06348,0.01883,0.1308,0.01883,0.06345,0.04422,0.02598,0.17831,0.02598,0.04421,0.05385,0.022405,0.154555,0.022405,0.05383,-0.16657,-0.21081,-0.19195,-0.21081,-0.16658
15,11,CC1=CC=NC(C2=CC=CC=C2)=N1,-0.04855,0.030149356,0.61281681,0.05604,0.02281,0.12886,0.01507,0.06792,0.04696,0.0219,0.17123,0.02629,0.04255,0.0515,0.022355,0.150045,0.02068,0.055235,-0.16714,-0.21113,-0.19351,-0.21139,-0.16816
16,12,CCC1=CN=C(C2=CC=CC=C2)N=C1,-0.0493,0.034381552,0.608559681,0.05071,0.0238,0.12431,0.01355,0.06737,0.04548,0.02227,0.16058,0.02074,0.04655,0.048095,0.023035,0.142445,0.017145,0.05696,-0.16987,-0.21096,-0.19538,-0.21087,-0.16948
17,14,COC(C=C1)=CC=C1C2=NC=CC=C2,-0.03379,-0.01888404,0.621331066,0.03847,0.02444,0.11417,0.00279,0.08489,0.00871,0.06584,0.08287,0.04794,0.03579,0.02359,0.04514,0.09852,0.025365,0.06034,-0.16387,-0.24646,0.29283,-0.29732,-0.14625
18,15,CC1=CC(C2=CC=C(OC)C=C2)=NC=C1,-0.029,-0.019958185,0.622629752,0.0402,0.02189,0.11141,0.00359,0.08089,0.00975,0.06382,0.08263,0.04553,0.0369,0.024975,0.042855,0.09702,0.02456,0.058895,-0.16425,-0.24672,0.29202,-0.29745,-0.14641
19,16,COC(C=C1)=CC=C1C2=NC=CC=N2,-0.04887,0.008241822,0.608810101,0.08295,0.00428,0.11565,0.01906,0.05117,0.02686,0.06016,0.08186,0.07493,0.00097,0.054905,0.03222,0.098755,0.046995,0.02607,-0.14104,-0.30361,0.30111,-0.25002,-0.14698
20,17,CC(C=C1)=CC=C1C2=NC=CC=C2,-0.03588,-0.001354628,0.621395127,0.0495,0.02242,0.12611,0.00973,0.0641,0.03922,0.02142,0.16021,0.02634,0.04046,0.04436,0.02192,0.14316,0.018035,0.05228,-0.16233,-0.20336,-0.01208,-0.2072,-0.17603
21,18,FC(C=C1)=CC=C1C2=NC=CC=C2,-0.0427,0.014685574,0.621587309,0.05513,0.0211,0.11267,0.01753,0.0654,0.03609,0.04232,0.11566,0.03348,0.04403,0.04561,0.03171,0.114165,0.025505,0.054715,-0.16579,-0.27359,0.3869,-0.27098,-0.1526
22,19,FC(C=C1)=CC=C1C2=NC=CC(C)=C2,-0.03784,0.013154324,0.622897643,0.05554,0.01948,0.10942,0.01798,0.06251,0.03662,0.04098,0.11309,0.03124,0.04483,0.04608,0.03023,0.111255,0.02461,0.05367,-0.16636,-0.27396,0.38613,-0.27125,-0.15265
23,20,O=C(C(C=C1)=CC=C1C2=NC=CC=C2)OCC,-0.0439,0.116932095,0.622099795,0.03676,0.03699,0.08864,0.0378,0.03912,0.04625,0.01117,0.16758,0.00181,0.05459,0.041505,0.02408,0.12811,0.019805,0.046855,-0.19148,-0.1627,-0.15622,-0.15259,-0.17701
24,21,ClC(C=C1)=CC=C1C2=NC=CC=C2,-0.04436,0.043559317,0.621587309,0.05956,0.02019,0.10901,0.02239,0.05163,0.04033,0.02362,0.09425,0.03127,0.0335,0.049945,0.021905,0.10163,0.02683,0.042565,-0.15799,-0.22186,-0.03445,-0.22436,-0.17123
25,22,FC(C(C=C1)=CC=C1C2=NC=CC=C2)(F)F,-0.04902,0.095461198,0.622088148,0.0499,0.02849,0.12595,0.0306,0.05172,0.04867,0.01462,0.15651,0.00621,0.06025,0.049285,0.021555,0.14123,0.018405,0.055985,-0.18244,-0.17684,-0.14323,-0.17415,-0.16884
26,14,COC(C=C1)=CC=C1C2=NC=CC=C2,-0.03379,-0.01888404,0.621331066,0.03847,0.02444,0.11417,0.00279,0.08489,0.00871,0.06584,0.08287,0.04794,0.03579,0.02359,0.04514,0.09852,0.025365,0.06034,-0.16387,-0.24646,0.29283,-0.29732,-0.14625
27,14,COC(C=C1)=CC=C1C2=NC=CC=C2,-0.03379,-0.01888404,0.621331066,0.03847,0.02444,0.11417,0.00279,0.08489,0.00871,0.06584,0.08287,0.04794,0.03579,0.02359,0.04514,0.09852,0.025365,0.06034,-0.16387,-0.24646,0.29283,-0.29732,-0.14625
28,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
29,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
30,20,O=C(C(C=C1)=CC=C1C2=NC=CC=C2)OCC,-0.0439,0.116932095,0.622099795,0.03676,0.03699,0.08864,0.0378,0.03912,0.04625,0.01117,0.16758,0.00181,0.05459,0.041505,0.02408,0.12811,0.019805,0.046855,-0.19148,-0.1627,-0.15622,-0.15259,-0.17701
31,20,O=C(C(C=C1)=CC=C1C2=NC=CC=C2)OCC,-0.0439,0.116932095,0.622099795,0.03676,0.03699,0.08864,0.0378,0.03912,0.04625,0.01117,0.16758,0.00181,0.05459,0.041505,0.02408,0.12811,0.019805,0.046855,-0.19148,-0.1627,-0.15622,-0.15259,-0.17701
32,25,CN(C1=CC(C2=CC=CC=C2)=NC=C1)C,-0.01744,-0.018493828,0.628226332,0.04606,0.03102,0.13267,0.01254,0.06774,0.04105,0.00623,0.07593,0.03327,0.01206,0.043555,0.018625,0.1043,0.022905,0.0399,-0.17235,-0.20593,-0.20536,-0.20871,-0.18866
33,3,CC1=CC(C2=CC=CC=C2)=NC=C1,-0.03231,0.00557562,0.623328597,0.05394,0.01963,0.12827,0.01949,0.05955,0.04296,0.02551,0.15484,0.01272,0.05785,0.04845,0.02257,0.141555,0.016105,0.0587,-0.18583,-0.20722,-0.20178,-0.20485,-0.17135
34,6,O=C(C1=CC(C2=CC=CC=C2)=NC=C1)OC,-0.05508,0.114448073,0.624935939,0.05356,0.00937,0.07809,0.02544,0.01987,0.05558,0.01438,0.15759,0.02496,0.04263,0.05457,0.011875,0.11784,0.0252,0.03125,-0.17055,-0.20358,-0.19852,-0.20601,-0.18356
35,26,FC(C1=CC(C2=CC=CC=C2)=NC=C1)(F)F,-0.05668,0.088457735,0.62542513,0.04156,0.02365,0.11398,0.01162,0.0664,0.03987,0.02849,0.16409,0.01559,0.05477,0.040715,0.02607,0.139035,0.013605,0.060585,-0.18126,-0.20498,-0.1949,-0.20319,-0.16814
36,8,CC1=CN=C(C2=CC=CC=C2)C=C1,-0.03539,-0.000266219,0.621395127,0.04716,0.0233,0.1267,0.01604,0.06325,0.04449,0.02272,0.14716,0.01228,0.05667,0.045825,0.02301,0.13693,0.01416,0.05996,-0.18705,-0.20691,-0.20326,-0.20446,-0.17335
37,10,C1(C2=CC=CC=C2)=NC=CC=N1,-0.05362,0.035847956,0.608879985,0.06348,0.01883,0.1308,0.01883,0.06345,0.04422,0.02598,0.17831,0.02598,0.04421,0.05385,0.022405,0.154555,0.022405,0.05383,-0.16657,-0.21081,-0.19195,-0.21081,-0.16658
38,10,C1(C2=CC=CC=C2)=NC=CC=N1,-0.05362,0.035847956,0.608879985,0.06348,0.01883,0.1308,0.01883,0.06345,0.04422,0.02598,0.17831,0.02598,0.04421,0.05385,0.022405,0.154555,0.022405,0.05383,-0.16657,-0.21081,-0.19195,-0.21081,-0.16658
39,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
40,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
41,14,COC(C=C1)=CC=C1C2=NC=CC=C2,-0.03379,-0.01888404,0.621331066,0.03847,0.02444,0.11417,0.00279,0.08489,0.00871,0.06584,0.08287,0.04794,0.03579,0.02359,0.04514,0.09852,0.025365,0.06034,-0.16387,-0.24646,0.29283,-0.29732,-0.14625
42,14,COC(C=C1)=CC=C1C2=NC=CC=C2,-0.03379,-0.01888404,0.621331066,0.03847,0.02444,0.11417,0.00279,0.08489,0.00871,0.06584,0.08287,0.04794,0.03579,0.02359,0.04514,0.09852,0.025365,0.06034,-0.16387,-0.24646,0.29283,-0.29732,-0.14625
43,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
44,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
45,20,O=C(C(C=C1)=CC=C1C2=NC=CC=C2)OCC,-0.0439,0.116932095,0.622099795,0.03676,0.03699,0.08864,0.0378,0.03912,0.04625,0.01117,0.16758,0.00181,0.05459,0.041505,0.02408,0.12811,0.019805,0.046855,-0.19148,-0.1627,-0.15622,-0.15259,-0.17701
46,27,CC1=NC(C2=CC=CC=C2)=NC=C1,-0.04855,0.030156849,0.61281681,0.05604,0.02281,0.12886,0.01507,0.06792,0.04696,0.0219,0.17123,0.02629,0.04255,0.0515,0.022355,0.150045,0.02068,0.055235,-0.16714,-0.21113,-0.19351,-0.21139,-0.16816
47,27,CC1=NC(C2=CC=CC=C2)=NC=C1,-0.04855,0.030156849,0.61281681,0.05604,0.02281,0.12886,0.01507,0.06792,0.04696,0.0219,0.17123,0.02629,0.04255,0.0515,0.022355,0.150045,0.02068,0.055235,-0.16714,-0.21113,-0.19351,-0.21139,-0.16816
48,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
49,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
50,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
51,14,COC(C=C1)=CC=C1C2=NC=CC=C2,-0.03379,-0.01888404,0.621331066,0.03847,0.02444,0.11417,0.00279,0.08489,0.00871,0.06584,0.08287,0.04794,0.03579,0.02359,0.04514,0.09852,0.025365,0.06034,-0.16387,-0.24646,0.29283,-0.29732,-0.14625
52,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.19148,-0.1627,-0.15622,-0.15259,-0.17701
53,20,O=C(C(C=C1)=CC=C1C2=NC=CC=C2)OCC,-0.0439,0.116932095,0.622099795,0.03676,0.03699,0.08864,0.0378,0.03912,0.04625,0.01117,0.16758,0.00181,0.05459,0.041505,0.02408,0.12811,0.019805,0.046855,-0.19148,-0.1627,-0.15622,-0.15259,-0.17701
54,14,COC(C=C1)=CC=C1C2=NC=CC=C2,-0.03379,-0.01888404,0.621331066,0.03847,0.02444,0.11417,0.00279,0.08489,0.00871,0.06584,0.08287,0.04794,0.03579,0.02359,0.04514,0.09852,0.025365,0.06034,-0.16387,-0.24646,0.29283,-0.29732,-0.14625
55,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
56,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
57,27,CC1=NC(C2=CC=CC=C2)=NC=C1,-0.04855,0.030156849,0.61281681,0.05604,0.02281,0.12886,0.01507,0.06792,0.04696,0.0219,0.17123,0.02629,0.04255,0.0515,0.022355,0.150045,0.02068,0.055235,-0.16714,-0.21113,-0.19351,-0.21139,-0.16816
58,14,COC(C=C1)=CC=C1C2=NC=CC=C2,-0.03379,-0.01888404,0.621331066,0.03847,0.02444,0.11417,0.00279,0.08489,0.00871,0.06584,0.08287,0.04794,0.03579,0.02359,0.04514,0.09852,0.025365,0.06034,-0.16387,-0.24646,0.29283,-0.29732,-0.14625
59,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
60,20,O=C(C(C=C1)=CC=C1C2=NC=CC=C2)OCC,-0.0439,0.116932095,0.622099795,0.03676,0.03699,0.08864,0.0378,0.03912,0.04625,0.01117,0.16758,0.00181,0.05459,0.041505,0.02408,0.12811,0.019805,0.046855,-0.19148,-0.1627,-0.15622,-0.15259,-0.17701
61,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
62,27,CC1=NC(C2=CC=CC=C2)=NC=C1,-0.04855,0.030156849,0.61281681,0.05604,0.02281,0.12886,0.01507,0.06792,0.04696,0.0219,0.17123,0.02629,0.04255,0.0515,0.022355,0.150045,0.02068,0.055235,-0.16714,-0.21113,-0.19351,-0.21139,-0.16816
63,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
64,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
65,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
66,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
67,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
68,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
69,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
70,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
71,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
72,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
73,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
74,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
75,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
76,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
77,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
78,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
79,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
80,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
