number,DG_num,RX_num,DG,RX,catalyst,ligand,solvent,addictive,tag,m/(m+o),m/(m+p),yield,notation,DOI,,,
26,14,2,COC(C=C1)=CC=C1C2=NC=CC=C2,CC(C)(Br)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.75,,10.1039/c7ob01192j,,,
27,14,2,COC(C=C1)=CC=C1C2=NC=CC=C2,CC(C)(Br)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.8,,10.1039/c7ob01192j,,,
28,1,2,C1(C2=CC=CC=C2)=NC=CC=C1,CC(C)(Br)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.69,,10.1039/c7ob01192j,,,
29,1,2,C1(C2=CC=CC=C2)=NC=CC=C1,CC(C)(Br)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.71,,10.1039/c7ob01192j,,,
30,20,2,O=C(C(C=C1)=CC=C1C2=NC=CC=C2)OCC,CC(C)(Br)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.25,,10.1039/c7ob01192j,,,
31,20,2,O=C(C(C=C1)=CC=C1C2=NC=CC=C2)OCC,CC(C)(Br)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.23,,10.1039/c7ob01192j,,,
32,25,2,CN(C1=CC(C2=CC=CC=C2)=NC=C1)C,CC(C)(Br)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.56,,10.1039/c7ob01192j,,,
33,3,2,CC1=CC(C2=CC=CC=C2)=NC=C1,CC(C)(Br)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.75,,10.1039/c7ob01192j,,,
34,6,2,O=C(C1=CC(C2=CC=CC=C2)=NC=C1)OC,CC(C)(Br)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.55,,10.1039/c7ob01192j,,, 
35,26,2,FC(C1=CC(C2=CC=CC=C2)=NC=C1)(F)F,CC(C)(Br)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.4,,10.1039/c7ob01192j,,,
