,reaction_id,rxn_smiles,products_run
133,132,[cH:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1/[C:14]([CH3:15])=[N:16]/[c:17]1[cH:18][cH:19][c:20]([F:21])[cH:22][cH:23]1.[Br:1][CH2:7][CH2:6][CH2:5][CH2:4][CH2:3][CH3:2]>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC(C)=C1.O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1>[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1/[C:14]([CH3:15])=[N:16]/[c:17]1[cH:18][cH:19][c:20]([F:21])[cH:22][cH:23]1,[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1/[C:14]([CH3:15])=[N:16]/[c:17]1[cH:18][cH:19][c:20]([F:21])[cH:22][cH:23]1.[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][c:8]1[cH:9][cH:10][c:11](/[C:12]([CH3:13])=[N:14]/[c:15]2[cH:16][cH:17][c:18]([F:19])[cH:20][cH:21]2)[cH:22][cH:23]1.[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](/[C:13]([CH3:14])=[N:15]/[c:16]2[cH:17][cH:18][c:19]([F:20])[cH:21][cH:22]2)[cH:23]1.[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](/[C:13]([CH3:14])=[N:15]/[c:16]2[cH:17][cH:18][c:19]([F:20])[cH:21][cH:22]2)[cH:23]1
134,133,[cH:10]1[cH:11][cH:12][cH:13][cH:14][c:15]1/[C:16]([CH3:17])=[N:18]/[c:19]1[cH:20][cH:21][c:22]([F:23])[cH:24][cH:25]1.[Br:1][CH2:9][CH2:8][CH2:7][CH2:6][CH2:5][CH2:4][CH2:3][CH3:2]>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC(C)=C1.O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1>[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][c:15]1/[C:16]([CH3:17])=[N:18]/[c:19]1[cH:20][cH:21][c:22]([F:23])[cH:24][cH:25]1,[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][c:15]1/[C:16]([CH3:17])=[N:18]/[c:19]1[cH:20][cH:21][c:22]([F:23])[cH:24][cH:25]1.[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][c:14](/[C:15]([CH3:16])=[N:17]/[c:18]2[cH:19][cH:20][c:21]([F:22])[cH:23][cH:24]2)[cH:25]1.[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][c:13](/[C:14]([CH3:15])=[N:16]/[c:17]2[cH:18][cH:19][c:20]([F:21])[cH:22][cH:23]2)[cH:24][cH:25]1.[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][c:14](/[C:15]([CH3:16])=[N:17]/[c:18]2[cH:19][cH:20][c:21]([F:22])[cH:23][cH:24]2)[cH:25]1
135,134,[cH:12]1[cH:13][cH:14][cH:15][cH:16][c:17]1/[C:18]([CH3:19])=[N:20]/[c:21]1[cH:22][cH:23][c:24]([F:25])[cH:26][cH:27]1.[Br:1][CH2:11][CH2:10][CH2:9][CH2:8][CH2:7][CH2:6][CH2:5][CH2:4][CH2:3][CH3:2]>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC(C)=C1.O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1>[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][c:12]1[cH:13][cH:14][cH:15][cH:16][c:17]1/[C:18]([CH3:19])=[N:20]/[c:21]1[cH:22][cH:23][c:24]([F:25])[cH:26][cH:27]1,[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][c:12]1[cH:13][cH:14][cH:15][cH:16][c:17]1/[C:18]([CH3:19])=[N:20]/[c:21]1[cH:22][cH:23][c:24]([F:25])[cH:26][cH:27]1.[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][c:12]1[cH:13][cH:14][c:15](/[C:16]([CH3:17])=[N:18]/[c:19]2[cH:20][cH:21][c:22]([F:23])[cH:24][cH:25]2)[cH:26][cH:27]1.[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][c:12]1[cH:13][cH:14][cH:15][c:16](/[C:17]([CH3:18])=[N:19]/[c:20]2[cH:21][cH:22][c:23]([F:24])[cH:25][cH:26]2)[cH:27]1.[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][c:12]1[cH:13][cH:14][cH:15][c:16](/[C:17]([CH3:18])=[N:19]/[c:20]2[cH:21][cH:22][c:23]([F:24])[cH:25][cH:26]2)[cH:27]1
136,135,[cH:14]1[cH:15][cH:16][cH:17][cH:18][c:19]1/[C:20]([CH3:21])=[N:22]/[c:23]1[cH:24][cH:25][c:26]([F:27])[cH:28][cH:29]1.[Br:1][CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][CH2:8][CH2:7][CH2:6][CH2:5][CH2:4][CH2:3][CH3:2]>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC(C)=C1.O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1>[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][c:19]1/[C:20]([CH3:21])=[N:22]/[c:23]1[cH:24][cH:25][c:26]([F:27])[cH:28][cH:29]1,[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][c:19]1/[C:20]([CH3:21])=[N:22]/[c:23]1[cH:24][cH:25][c:26]([F:27])[cH:28][cH:29]1.[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][c:18](/[C:19]([CH3:20])=[N:21]/[c:22]2[cH:23][cH:24][c:25]([F:26])[cH:27][cH:28]2)[cH:29]1.[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][c:14]1[cH:15][cH:16][c:17](/[C:18]([CH3:19])=[N:20]/[c:21]2[cH:22][cH:23][c:24]([F:25])[cH:26][cH:27]2)[cH:28][cH:29]1.[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][c:18](/[C:19]([CH3:20])=[N:21]/[c:22]2[cH:23][cH:24][c:25]([F:26])[cH:27][cH:28]2)[cH:29]1
137,136,[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[Cl:23])[cH:21][cH:22]1.[cH:9]1[cH:10][cH:11][cH:12][c:13](-[c:14]2[cH:15][cH:16][cH:17][cH:18][n:19]2)[cH:20]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].C1COCCO1>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][cH:18][n:19]3)[cH:20]2)[cH:21][cH:22]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][cH:18][n:19]3)[cH:20]2)[cH:21][cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2-[c:15]2[cH:16][cH:17][cH:18][cH:19][n:20]2)[cH:21][cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][c:12](-[c:13]3[cH:14][cH:15][cH:16][cH:17][n:18]3)[cH:19][cH:20]2)[cH:21][cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2-[c:15]2[cH:16][cH:17][cH:18][cH:19][n:20]2)[cH:21][cH:22]1
138,137,[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[Cl:23])[cH:21][cH:22]1.[cH:9]1[cH:10][cH:11][cH:12][c:13](-[c:14]2[cH:15][cH:16][cH:17][cH:18][n:19]2)[cH:20]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CCOC(C)=O>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][cH:18][n:19]3)[cH:20]2)[cH:21][cH:22]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][cH:18][n:19]3)[cH:20]2)[cH:21][cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2-[c:15]2[cH:16][cH:17][cH:18][cH:19][n:20]2)[cH:21][cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][c:12](-[c:13]3[cH:14][cH:15][cH:16][cH:17][n:18]3)[cH:19][cH:20]2)[cH:21][cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2-[c:15]2[cH:16][cH:17][cH:18][cH:19][n:20]2)[cH:21][cH:22]1
139,138,[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[Cl:23])[cH:21][cH:22]1.[cH:9]1[cH:10][cH:11][cH:12][c:13](-[c:14]2[cH:15][cH:16][cH:17][cH:18][n:19]2)[cH:20]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].C1COCC1>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][cH:18][n:19]3)[cH:20]2)[cH:21][cH:22]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][cH:18][n:19]3)[cH:20]2)[cH:21][cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2-[c:15]2[cH:16][cH:17][cH:18][cH:19][n:20]2)[cH:21][cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][c:12](-[c:13]3[cH:14][cH:15][cH:16][cH:17][n:18]3)[cH:19][cH:20]2)[cH:21][cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2-[c:15]2[cH:16][cH:17][cH:18][cH:19][n:20]2)[cH:21][cH:22]1
140,139,[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[Cl:23])[cH:21][cH:22]1.[cH:9]1[cH:10][cH:11][cH:12][c:13](-[c:14]2[cH:15][cH:16][cH:17][cH:18][n:19]2)[cH:20]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC=C1>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][cH:18][n:19]3)[cH:20]2)[cH:21][cH:22]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][cH:18][n:19]3)[cH:20]2)[cH:21][cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2-[c:15]2[cH:16][cH:17][cH:18][cH:19][n:20]2)[cH:21][cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][c:12](-[c:13]3[cH:14][cH:15][cH:16][cH:17][n:18]3)[cH:19][cH:20]2)[cH:21][cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2-[c:15]2[cH:16][cH:17][cH:18][cH:19][n:20]2)[cH:21][cH:22]1
141,140,[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[Cl:23])[cH:21][cH:22]1.[cH:9]1[cH:10][cH:11][cH:12][c:13](-[c:14]2[cH:15][cH:16][cH:17][cH:18][n:19]2)[cH:20]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].N#CC>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][cH:18][n:19]3)[cH:20]2)[cH:21][cH:22]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][cH:18][n:19]3)[cH:20]2)[cH:21][cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2-[c:15]2[cH:16][cH:17][cH:18][cH:19][n:20]2)[cH:21][cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][c:12](-[c:13]3[cH:14][cH:15][cH:16][cH:17][n:18]3)[cH:19][cH:20]2)[cH:21][cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2-[c:15]2[cH:16][cH:17][cH:18][cH:19][n:20]2)[cH:21][cH:22]1
142,141,[Cl:1][S:3](=[O:2])(=[O:4])[c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1.[cH:11]1[cH:12][cH:13][cH:14][c:15](-[c:16]2[cH:17][cH:18][cH:19][cH:20][n:21]2)[cH:22]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].N#CC>[O:2]=[S:3](=[O:4])([c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][c:15](-[c:16]2[cH:17][cH:18][cH:19][cH:20][n:21]2)[cH:22]1,[O:2]=[S:3](=[O:4])([c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][c:15](-[c:16]2[cH:17][cH:18][cH:19][cH:20][n:21]2)[cH:22]1.[O:2]=[S:3](=[O:4])([c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[c:11]1[cH:12][cH:13][c:14](-[c:15]2[cH:16][cH:17][cH:18][cH:19][n:20]2)[cH:21][cH:22]1.[O:2]=[S:3](=[O:4])([c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1-[c:17]1[cH:18][cH:19][cH:20][cH:21][n:22]1.[O:2]=[S:3](=[O:4])([c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1-[c:17]1[cH:18][cH:19][cH:20][cH:21][n:22]1
143,142,[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]([S:9](=[O:10])(=[O:11])[Cl:26])[cH:24][cH:25]1.[cH:12]1[cH:13][cH:14][cH:15][c:16](-[c:17]2[cH:18][cH:19][cH:20][cH:21][n:22]2)[cH:23]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].N#CC>[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]([S:9](=[O:10])(=[O:11])[c:12]2[cH:13][cH:14][cH:15][c:16](-[c:17]3[cH:18][cH:19][cH:20][cH:21][n:22]3)[cH:23]2)[cH:24][cH:25]1,[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]([S:9](=[O:10])(=[O:11])[c:12]2[cH:13][cH:14][cH:15][c:16](-[c:17]3[cH:18][cH:19][cH:20][cH:21][n:22]3)[cH:23]2)[cH:24][cH:25]1.[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]([S:9](=[O:10])(=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2-[c:18]2[cH:19][cH:20][cH:21][cH:22][n:23]2)[cH:24][cH:25]1.[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]([S:9](=[O:10])(=[O:11])[c:12]2[cH:13][cH:14][c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][n:21]3)[cH:22][cH:23]2)[cH:24][cH:25]1.[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]([S:9](=[O:10])(=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2-[c:18]2[cH:19][cH:20][cH:21][cH:22][n:23]2)[cH:24][cH:25]1
144,143,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([S:7](=[O:8])(=[O:9])[Cl:23])[cH:22]1.[cH:10]1[cH:11][cH:12][cH:13][c:14](-[c:15]2[cH:16][cH:17][cH:18][cH:19][n:20]2)[cH:21]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].N#CC>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([S:7](=[O:8])(=[O:9])[c:10]2[cH:11][cH:12][cH:13][c:14](-[c:15]3[cH:16][cH:17][cH:18][cH:19][n:20]3)[cH:21]2)[cH:22]1,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([S:7](=[O:8])(=[O:9])[c:10]2[cH:11][cH:12][cH:13][c:14](-[c:15]3[cH:16][cH:17][cH:18][cH:19][n:20]3)[cH:21]2)[cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([S:7](=[O:8])(=[O:9])[c:10]2[cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][cH:18][n:19]3)[cH:20][cH:21]2)[cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([S:7](=[O:8])(=[O:9])[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2-[c:16]2[cH:17][cH:18][cH:19][cH:20][n:21]2)[cH:22]1.[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([S:7](=[O:8])(=[O:9])[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2-[c:16]2[cH:17][cH:18][cH:19][cH:20][n:21]2)[cH:22]1
145,144,[CH3:1][c:2]1[cH:3][c:4]([CH3:5])[c:6]([S:7](=[O:8])(=[O:9])[Cl:25])[c:22]([CH3:23])[cH:24]1.[cH:10]1[cH:11][cH:12][cH:13][c:14](-[c:15]2[cH:16][cH:17][cH:18][cH:19][n:20]2)[cH:21]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].N#CC>[CH3:1][c:2]1[cH:3][c:4]([CH3:5])[c:6]([S:7](=[O:8])(=[O:9])[c:10]2[cH:11][cH:12][cH:13][c:14](-[c:15]3[cH:16][cH:17][cH:18][cH:19][n:20]3)[cH:21]2)[c:22]([CH3:23])[cH:24]1,[CH3:1][c:2]1[cH:3][c:4]([CH3:5])[c:6]([S:7](=[O:8])(=[O:9])[c:10]2[cH:11][cH:12][cH:13][c:14](-[c:15]3[cH:16][cH:17][cH:18][cH:19][n:20]3)[cH:21]2)[c:22]([CH3:23])[cH:24]1.[CH3:1][c:2]1[cH:3][c:4]([CH3:5])[c:6]([S:7](=[O:8])(=[O:9])[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2-[c:16]2[cH:17][cH:18][cH:19][cH:20][n:21]2)[c:22]([CH3:23])[cH:24]1.[CH3:1][c:2]1[cH:3][c:4]([CH3:5])[c:6]([S:7](=[O:8])(=[O:9])[c:10]2[cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][cH:18][n:19]3)[cH:20][cH:21]2)[c:22]([CH3:23])[cH:24]1.[CH3:1][c:2]1[cH:3][c:4]([CH3:5])[c:6]([S:7](=[O:8])(=[O:9])[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2-[c:16]2[cH:17][cH:18][cH:19][cH:20][n:21]2)[c:22]([CH3:23])[cH:24]1
146,145,[Cl:1][S:3](=[O:2])(=[O:4])[c:17]1[cH:18][cH:19][c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]2[cH:26]1.[cH:5]1[cH:6][cH:7][cH:8][c:9](-[c:10]2[cH:11][cH:12][cH:13][cH:14][n:15]2)[cH:16]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].N#CC>[O:2]=[S:3](=[O:4])([c:5]1[cH:6][cH:7][cH:8][c:9](-[c:10]2[cH:11][cH:12][cH:13][cH:14][n:15]2)[cH:16]1)[c:17]1[cH:18][cH:19][c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]2[cH:26]1,[O:2]=[S:3](=[O:4])([c:5]1[cH:6][cH:7][cH:8][c:9](-[c:10]2[cH:11][cH:12][cH:13][cH:14][n:15]2)[cH:16]1)[c:17]1[cH:18][cH:19][c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]2[cH:26]1.[O:2]=[S:3](=[O:4])([c:5]1[cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][cH:12][cH:13][n:14]2)[cH:15][cH:16]1)[c:17]1[cH:18][cH:19][c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]2[cH:26]1.[O:2]=[S:3](=[O:4])([c:5]1[cH:6][cH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[cH:14]1)[c:15]1[cH:16][cH:17][cH:18][cH:19][c:20]1-[c:21]1[cH:22][cH:23][cH:24][cH:25][n:26]1.[O:2]=[S:3](=[O:4])([c:5]1[cH:6][cH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[cH:14]1)[c:15]1[cH:16][cH:17][cH:18][cH:19][c:20]1-[c:21]1[cH:22][cH:23][cH:24][cH:25][n:26]1
147,146,[Cl:1][S:3](=[O:2])(=[O:4])[c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1.[cH:12]1[cH:13][cH:14][cH:15][c:16](-[c:17]2[cH:18][cH:19][cH:20][cH:21][n:22]2)[cH:23]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].N#CC>[O:2]=[S:3](=[O:4])([c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1)[c:12]1[cH:13][cH:14][cH:15][c:16](-[c:17]2[cH:18][cH:19][cH:20][cH:21][n:22]2)[cH:23]1,[O:2]=[S:3](=[O:4])([c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1)[c:12]1[cH:13][cH:14][cH:15][c:16](-[c:17]2[cH:18][cH:19][cH:20][cH:21][n:22]2)[cH:23]1.[O:2]=[S:3](=[O:4])([c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1)[c:12]1[cH:13][cH:14][c:15](-[c:16]2[cH:17][cH:18][cH:19][cH:20][n:21]2)[cH:22][cH:23]1.[O:2]=[S:3](=[O:4])([c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1)[c:12]1[cH:13][cH:14][cH:15][cH:16][c:17]1-[c:18]1[cH:19][cH:20][cH:21][cH:22][n:23]1.[O:2]=[S:3](=[O:4])([c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1)[c:12]1[cH:13][cH:14][cH:15][cH:16][c:17]1-[c:18]1[cH:19][cH:20][cH:21][cH:22][n:23]1
